,D_home,GA_home,GD_home,GF_home,GP_home,L_home,Pts_home,W_home,team,year,D_away,GA_away,GD_away,GF_away,GP_away,L_away,Pts_away,W_away,ppg_away,ppg_home,ppg_home_away_diff,Avg_all,BTS_all,CS_all,FTS_all,GP_all,LTN_all,WTN_all,g_0.5+_all,g_1.5+_all,g_2.5+_all,g_3.5+_all,g_4.5+_all,g_5.5+_all,g_6.5+_all,Avg_home,BTS_home,CS_home,FTS_home,LTN_home,WTN_home,g_0.5+_home,g_1.5+_home,g_2.5+_home,g_3.5+_home,g_4.5+_home,g_5.5+_home,g_6.5+_home,Avg_away,BTS_away,CS_away,FTS_away,LTN_away,WTN_away,g_0.5+_away,g_1.5+_away,g_2.5+_away,g_3.5+_away,g_4.5+_away,g_5.5+_away,g_6.5+_away,Avg_htime,BTS_htime,CS_htime,FTS_htime,LTN_htime,WTN_htime,g_0.5+_htime,g_1.5+_htime,g_2.5+_htime,g_3.5+_htime,g_4.5+_htime,g_5.5+_htime,g_6.5+_htime,half_1_con,half_1_goal,half_2_con,half_2_goal,min_0-15_con,min_0-15_goal,min_16-30_con,min_16-30_goal,min_31-45_con,min_31-45_goal,min_46-60_con,min_46-60_goal,min_61-75_con,min_61-75_goal,min_76-90_con,min_76-90_goal
36,5,28,-5,23,19,9,20,5,Aston Villa,2013,6,41,-17,24,19,8,21,5,1.11,1.05,-0.06,3.05,0.61,0.13,0.32,38,0.26,0.08,0.95,0.79,0.61,0.37,0.18,0.08,0.05,2.68,0.58,0.21,0.32,0.21,0.11,0.89,0.74,0.53,0.26,0.16,0.05,0.05,3.42,0.63,0.05,0.32,0.32,0.05,1.0,0.84,0.68,0.47,0.21,0.11,0.05,1.24,0.18,0.55,0.55,0.26,0.26,0.71,0.34,0.18,0.0,0.0,0.0,0.0,25.0,22.0,44.0,25.0,7.0,6.0,6.0,5.0,12.0,11.0,13.0,10.0,15.0,5.0,16.0,10.0
37,8,33,-10,23,19,7,20,4,Reading,2013,2,40,-20,20,19,15,8,2,0.42,1.05,0.63,3.05,0.61,0.13,0.37,38,0.26,0.03,0.89,0.71,0.61,0.39,0.24,0.16,0.05,2.95,0.58,0.26,0.37,0.16,0.05,0.79,0.74,0.58,0.37,0.21,0.16,0.11,3.16,0.63,0.0,0.37,0.37,0.0,1.0,0.68,0.63,0.42,0.26,0.16,0.0,1.18,0.13,0.45,0.71,0.42,0.16,0.71,0.26,0.11,0.03,0.03,0.03,0.03,30.0,15.0,43.0,28.0,6.0,5.0,10.0,6.0,14.0,4.0,9.0,4.0,16.0,8.0,18.0,16.0
38,6,39,-13,26,19,9,18,4,Wigan Athletic,2013,3,34,-13,21,19,11,18,5,0.95,0.95,0.0,3.16,0.58,0.13,0.29,38,0.29,0.13,1.0,0.87,0.71,0.42,0.16,0.0,0.0,3.42,0.68,0.05,0.26,0.26,0.05,1.0,0.89,0.79,0.58,0.16,0.0,0.0,2.89,0.47,0.21,0.32,0.32,0.21,1.0,0.84,0.63,0.26,0.16,0.0,0.0,1.21,0.24,0.47,0.61,0.29,0.16,0.68,0.37,0.13,0.03,0.0,0.0,0.0,28.0,18.0,45.0,29.0,9.0,6.0,10.0,5.0,9.0,7.0,13.0,14.0,17.0,5.0,15.0,10.0
39,8,28,-15,13,19,9,14,2,QP Rangers,2013,5,32,-15,17,19,12,11,2,0.58,0.74,0.16,2.37,0.55,0.18,0.42,38,0.26,0.03,0.84,0.68,0.45,0.26,0.13,0.0,0.0,2.16,0.53,0.21,0.47,0.26,0.0,0.79,0.74,0.42,0.16,0.05,0.0,0.0,2.58,0.58,0.16,0.37,0.26,0.05,0.89,0.63,0.47,0.37,0.21,0.0,0.0,1.16,0.26,0.39,0.68,0.34,0.05,0.66,0.37,0.11,0.03,0.0,0.0,0.0,32.0,12.0,28.0,18.0,9.0,4.0,14.0,5.0,9.0,3.0,7.0,7.0,10.0,6.0,11.0,5.0
40,1,13,50,63,19,1,52,17,Manchester City,2014,4,24,15,39,19,5,34,10,1.79,2.74,0.95,3.66,0.53,0.42,0.11,38,0.05,0.37,0.95,0.84,0.66,0.55,0.39,0.16,0.05,4.0,0.42,0.53,0.05,0.05,0.53,1.0,0.84,0.74,0.63,0.37,0.21,0.11,3.32,0.63,0.32,0.16,0.05,0.21,0.89,0.84,0.58,0.47,0.42,0.11,0.0,1.58,0.24,0.66,0.29,0.11,0.47,0.82,0.45,0.24,0.08,0.0,0.0,0.0,14.0,46.0,23.0,56.0,2.0,17.0,6.0,12.0,6.0,17.0,6.0,20.0,6.0,13.0,11.0,23.0
41,1,18,35,53,19,2,49,16,Liverpool,2014,5,32,16,48,19,4,35,10,1.84,2.58,0.74,3.97,0.66,0.26,0.08,38,0.08,0.26,1.0,0.89,0.79,0.61,0.34,0.18,0.08,3.74,0.58,0.32,0.11,0.11,0.32,1.0,0.84,0.74,0.63,0.32,0.16,0.05,4.21,0.74,0.21,0.05,0.05,0.21,1.0,0.95,0.84,0.58,0.37,0.21,0.11,2.11,0.32,0.61,0.11,0.08,0.58,0.97,0.63,0.37,0.11,0.03,0.0,0.0,21.0,59.0,29.0,42.0,4.0,15.0,9.0,22.0,8.0,22.0,8.0,16.0,9.0,12.0,12.0,14.0
42,3,11,32,43,19,1,48,15,Chelsea,2014,4,16,12,28,19,5,34,10,1.79,2.53,0.74,2.58,0.42,0.47,0.21,38,0.11,0.37,0.89,0.71,0.53,0.26,0.11,0.05,0.03,2.84,0.47,0.53,0.11,0.0,0.42,0.89,0.79,0.68,0.32,0.11,0.05,0.0,2.32,0.37,0.42,0.32,0.21,0.32,0.89,0.63,0.37,0.21,0.11,0.05,0.05,1.08,0.18,0.71,0.47,0.11,0.34,0.63,0.32,0.11,0.03,0.0,0.0,0.0,11.0,30.0,16.0,41.0,5.0,7.0,3.0,9.0,3.0,14.0,5.0,9.0,4.0,16.0,7.0,16.0
43,5,11,25,36,19,1,44,13,Arsenal,2014,2,30,2,32,19,6,35,11,1.84,2.32,0.48,2.87,0.45,0.45,0.16,38,0.11,0.39,0.95,0.79,0.5,0.34,0.13,0.08,0.03,2.47,0.42,0.58,0.11,0.0,0.47,0.89,0.79,0.37,0.32,0.11,0.0,0.0,3.26,0.47,0.32,0.21,0.21,0.32,1.0,0.79,0.63,0.37,0.16,0.16,0.05,1.18,0.11,0.68,0.53,0.21,0.37,0.68,0.32,0.13,0.05,0.0,0.0,0.0,20.0,25.0,21.0,43.0,7.0,8.0,8.0,6.0,5.0,11.0,5.0,14.0,6.0,16.0,10.0,13.0
44,3,19,19,38,19,3,42,13,Everton,2014,6,20,3,23,19,5,30,8,1.58,2.21,0.63,2.63,0.47,0.39,0.24,38,0.13,0.29,0.89,0.71,0.5,0.32,0.18,0.03,0.0,3.0,0.53,0.42,0.16,0.05,0.32,0.89,0.74,0.63,0.37,0.32,0.05,0.0,2.26,0.42,0.37,0.32,0.21,0.26,0.89,0.68,0.37,0.26,0.05,0.0,0.0,0.97,0.13,0.71,0.58,0.16,0.29,0.58,0.26,0.13,0.0,0.0,0.0,0.0,17.0,20.0,22.0,41.0,2.0,7.0,7.0,7.0,8.0,6.0,6.0,10.0,10.0,13.0,6.0,18.0
45,6,17,10,27,19,3,36,10,Stoke City,2014,5,35,-17,18,19,11,14,3,0.74,1.89,1.15,2.55,0.5,0.24,0.37,38,0.26,0.13,0.89,0.61,0.45,0.29,0.18,0.08,0.03,2.32,0.53,0.37,0.26,0.11,0.21,0.84,0.58,0.37,0.21,0.16,0.05,0.05,2.79,0.47,0.11,0.47,0.42,0.05,0.95,0.63,0.53,0.37,0.21,0.11,0.0,1.13,0.24,0.55,0.55,0.21,0.21,0.66,0.26,0.13,0.08,0.0,0.0,0.0,20.0,23.0,32.0,22.0,6.0,3.0,1.0,8.0,13.0,12.0,13.0,6.0,10.0,6.0,9.0,10.0
46,3,23,7,30,19,5,36,11,Tottenham,2014,3,28,-3,25,19,6,33,10,1.74,1.89,0.15,2.79,0.37,0.37,0.29,38,0.26,0.34,0.97,0.68,0.5,0.34,0.18,0.11,0.0,2.79,0.37,0.42,0.21,0.21,0.42,1.0,0.68,0.47,0.32,0.21,0.11,0.0,2.79,0.37,0.32,0.37,0.32,0.26,0.95,0.68,0.53,0.37,0.16,0.11,0.0,1.18,0.21,0.55,0.53,0.24,0.26,0.71,0.34,0.11,0.03,0.0,0.0,0.0,25.0,20.0,26.0,35.0,9.0,1.0,7.0,7.0,9.0,12.0,11.0,13.0,6.0,12.0,9.0,10.0
47,6,23,9,32,19,5,30,8,Southampton,2014,5,23,-1,22,19,7,26,7,1.37,1.58,0.21,2.63,0.47,0.39,0.18,38,0.13,0.34,0.95,0.74,0.45,0.32,0.16,0.03,0.0,2.89,0.47,0.37,0.21,0.16,0.32,0.95,0.84,0.47,0.37,0.21,0.05,0.0,2.37,0.47,0.42,0.16,0.11,0.37,0.95,0.63,0.42,0.26,0.11,0.0,0.0,1.24,0.21,0.61,0.5,0.18,0.29,0.68,0.32,0.18,0.05,0.0,0.0,0.0,19.0,28.0,27.0,26.0,6.0,8.0,7.0,10.0,6.0,10.0,9.0,8.0,9.0,10.0,9.0,8.0
48,3,21,8,29,19,7,30,9,Manchester Utd,2014,4,22,13,35,19,5,34,10,1.79,1.58,-0.21,2.82,0.47,0.34,0.24,38,0.18,0.29,0.95,0.79,0.58,0.37,0.13,0.0,0.0,2.63,0.42,0.32,0.32,0.26,0.26,0.95,0.74,0.53,0.32,0.11,0.0,0.0,3.0,0.53,0.37,0.16,0.11,0.32,0.95,0.84,0.63,0.42,0.16,0.0,0.0,1.29,0.13,0.55,0.53,0.32,0.34,0.79,0.34,0.13,0.03,0.0,0.0,0.0,22.0,27.0,21.0,37.0,7.0,5.0,7.0,9.0,8.0,13.0,8.0,13.0,5.0,12.0,8.0,12.0
49,3,28,-5,23,19,8,27,8,Newcastle Utd,2014,1,31,-11,20,19,11,22,7,1.16,1.42,0.26,2.68,0.37,0.26,0.42,38,0.37,0.21,0.95,0.71,0.63,0.26,0.11,0.03,0.0,2.68,0.37,0.32,0.37,0.32,0.26,0.95,0.74,0.58,0.26,0.11,0.05,0.0,2.68,0.37,0.21,0.47,0.42,0.16,0.95,0.68,0.68,0.26,0.11,0.0,0.0,1.18,0.13,0.53,0.61,0.34,0.26,0.74,0.37,0.08,0.0,0.0,0.0,0.0,24.0,21.0,35.0,22.0,4.0,4.0,10.0,9.0,10.0,8.0,9.0,7.0,13.0,4.0,13.0,11.0
50,3,23,-5,18,19,8,27,8,Crystal Palace,2014,3,25,-10,15,19,11,18,5,0.95,1.42,0.47,2.13,0.29,0.32,0.45,38,0.39,0.26,0.95,0.61,0.29,0.18,0.08,0.03,0.0,2.16,0.26,0.37,0.42,0.37,0.32,0.95,0.58,0.26,0.21,0.11,0.05,0.0,2.11,0.32,0.26,0.47,0.42,0.21,0.95,0.63,0.32,0.16,0.05,0.0,0.0,0.84,0.08,0.66,0.68,0.26,0.24,0.58,0.18,0.08,0.0,0.0,0.0,0.0,19.0,13.0,29.0,20.0,3.0,4.0,7.0,5.0,9.0,4.0,13.0,5.0,9.0,3.0,7.0,12.0
51,4,21,-1,20,19,8,25,7,Hull City,2014,3,32,-14,18,19,13,12,3,0.63,1.32,0.69,2.39,0.37,0.26,0.42,38,0.37,0.21,0.95,0.68,0.34,0.26,0.13,0.03,0.0,2.16,0.26,0.42,0.42,0.32,0.32,0.89,0.58,0.26,0.21,0.16,0.05,0.0,2.63,0.47,0.11,0.42,0.42,0.11,1.0,0.79,0.42,0.32,0.11,0.0,0.0,1.16,0.13,0.58,0.58,0.29,0.29,0.71,0.29,0.11,0.05,0.0,0.0,0.0,25.0,19.0,28.0,19.0,8.0,5.0,8.0,9.0,9.0,5.0,12.0,7.0,6.0,8.0,10.0,4.0
52,3,26,-1,25,19,9,24,7,West Ham Utd,2014,4,25,-10,15,19,11,16,4,0.84,1.26,0.42,2.39,0.39,0.37,0.39,38,0.24,0.21,0.84,0.68,0.47,0.29,0.08,0.03,0.0,2.68,0.42,0.37,0.32,0.21,0.26,0.89,0.79,0.53,0.32,0.11,0.05,0.0,2.11,0.37,0.37,0.47,0.26,0.16,0.79,0.58,0.42,0.26,0.05,0.0,0.0,1.03,0.18,0.58,0.61,0.24,0.21,0.63,0.32,0.08,0.0,0.0,0.0,0.0,21.0,18.0,30.0,22.0,4.0,5.0,4.0,5.0,13.0,8.0,7.0,7.0,10.0,6.0,13.0,9.0
53,6,18,-1,17,19,7,24,6,Norwich City,2014,3,44,-33,11,19,14,9,2,0.47,1.26,0.79,2.37,0.37,0.32,0.45,38,0.32,0.18,0.87,0.61,0.37,0.26,0.16,0.08,0.03,1.84,0.37,0.42,0.37,0.21,0.26,0.84,0.47,0.26,0.21,0.05,0.0,0.0,2.89,0.37,0.21,0.53,0.42,0.11,0.89,0.74,0.47,0.32,0.26,0.16,0.05,1.08,0.11,0.47,0.76,0.42,0.13,0.66,0.26,0.08,0.05,0.03,0.0,0.0,31.0,10.0,31.0,18.0,7.0,4.0,13.0,2.0,11.0,4.0,10.0,5.0,11.0,5.0,10.0,8.0
54,5,26,7,33,19,8,23,6,Swansea City,2014,4,28,-7,21,19,10,19,5,1.0,1.21,0.21,2.84,0.53,0.21,0.29,38,0.26,0.18,0.97,0.82,0.53,0.29,0.16,0.05,0.03,3.11,0.58,0.32,0.16,0.11,0.26,0.95,0.84,0.68,0.37,0.21,0.05,0.0,2.58,0.47,0.11,0.42,0.42,0.11,1.0,0.79,0.37,0.21,0.11,0.05,0.05,1.16,0.21,0.53,0.58,0.26,0.21,0.68,0.34,0.08,0.03,0.03,0.0,0.0,24.0,20.0,30.0,34.0,7.0,8.0,9.0,6.0,8.0,6.0,11.0,10.0,11.0,9.0,8.0,15.0
55,9,27,-3,24,19,6,21,4,West Brom,2014,6,32,-13,19,19,10,15,3,0.79,1.11,0.32,2.68,0.58,0.18,0.29,38,0.24,0.13,0.95,0.76,0.42,0.26,0.16,0.11,0.03,2.68,0.58,0.21,0.21,0.21,0.21,1.0,0.84,0.37,0.21,0.16,0.11,0.0,2.68,0.58,0.16,0.37,0.26,0.05,0.89,0.68,0.47,0.32,0.16,0.11,0.05,1.39,0.16,0.34,0.68,0.5,0.16,0.82,0.32,0.13,0.08,0.03,0.03,0.0,34.0,19.0,25.0,24.0,11.0,9.0,11.0,3.0,12.0,7.0,3.0,6.0,12.0,6.0,10.0,12.0
56,3,29,-7,22,19,10,21,6,Aston Villa,2014,5,32,-15,17,19,10,17,4,0.89,1.11,0.22,2.63,0.47,0.24,0.42,38,0.29,0.11,0.87,0.68,0.53,0.32,0.18,0.03,0.03,2.68,0.47,0.21,0.42,0.32,0.11,0.89,0.74,0.47,0.26,0.21,0.05,0.05,2.58,0.47,0.26,0.42,0.26,0.11,0.84,0.63,0.58,0.37,0.16,0.0,0.0,1.39,0.26,0.5,0.63,0.24,0.11,0.61,0.39,0.21,0.11,0.05,0.03,0.0,31.0,22.0,30.0,17.0,10.0,6.0,10.0,8.0,11.0,8.0,8.0,1.0,11.0,9.0,11.0,7.0
57,5,35,-15,20,19,9,20,5,Cardiff City,2014,4,39,-27,12,19,13,10,2,0.53,1.05,0.52,2.79,0.42,0.18,0.5,38,0.39,0.08,0.89,0.76,0.55,0.29,0.13,0.08,0.03,2.89,0.47,0.21,0.42,0.32,0.11,0.89,0.74,0.63,0.32,0.11,0.05,0.05,2.68,0.37,0.16,0.58,0.47,0.05,0.89,0.79,0.47,0.26,0.16,0.11,0.0,1.13,0.16,0.42,0.76,0.42,0.08,0.66,0.29,0.16,0.03,0.0,0.0,0.0,33.0,10.0,41.0,22.0,9.0,5.0,10.0,3.0,14.0,2.0,9.0,8.0,6.0,7.0,26.0,7.0
58,3,27,-6,21,19,11,18,5,Sunderland,2014,5,33,-13,20,19,9,20,5,1.05,0.95,-0.1,2.66,0.47,0.29,0.34,38,0.24,0.18,0.89,0.68,0.55,0.34,0.11,0.05,0.03,2.53,0.47,0.32,0.32,0.21,0.21,0.89,0.63,0.53,0.32,0.05,0.05,0.05,2.79,0.47,0.26,0.37,0.26,0.16,0.89,0.74,0.58,0.37,0.16,0.05,0.0,1.24,0.13,0.47,0.58,0.39,0.29,0.82,0.34,0.08,0.0,0.0,0.0,0.0,27.0,20.0,33.0,21.0,10.0,5.0,9.0,10.0,8.0,5.0,13.0,4.0,6.0,5.0,14.0,12.0
59,3,38,-14,24,19,11,18,5,Fulham,2014,2,47,-31,16,19,13,14,4,0.74,0.95,0.21,3.29,0.61,0.13,0.26,38,0.26,0.13,1.0,0.87,0.68,0.47,0.21,0.05,0.0,3.26,0.74,0.21,0.05,0.05,0.21,1.0,0.84,0.74,0.47,0.16,0.05,0.0,3.32,0.47,0.05,0.47,0.47,0.05,1.0,0.89,0.63,0.47,0.26,0.05,0.0,1.0,0.16,0.55,0.71,0.29,0.13,0.58,0.34,0.08,0.0,0.0,0.0,0.0,25.0,13.0,60.0,27.0,6.0,1.0,10.0,6.0,9.0,6.0,12.0,9.0,23.0,11.0,25.0,7.0
60,4,9,27,36,19,0,49,15,Chelsea,2015,5,23,14,37,19,3,38,11,2.0,2.58,0.58,2.76,0.53,0.45,0.08,38,0.03,0.39,0.95,0.82,0.45,0.21,0.13,0.08,0.05,2.37,0.42,0.58,0.0,0.0,0.58,1.0,0.84,0.32,0.11,0.05,0.05,0.0,3.16,0.63,0.32,0.16,0.05,0.21,0.89,0.79,0.58,0.32,0.21,0.11,0.11,1.42,0.32,0.63,0.26,0.05,0.42,0.79,0.39,0.13,0.11,0.0,0.0,0.0,17.0,37.0,15.0,36.0,4.0,15.0,6.0,9.0,7.0,13.0,5.0,6.0,2.0,14.0,8.0,16.0
61,3,14,30,44,19,2,45,14,Manchester City,2015,4,24,15,39,19,5,34,10,1.79,2.37,0.58,3.18,0.55,0.37,0.08,38,0.08,0.37,1.0,0.84,0.58,0.39,0.26,0.11,0.0,3.05,0.42,0.47,0.11,0.11,0.47,1.0,0.84,0.53,0.37,0.26,0.05,0.0,3.32,0.68,0.26,0.05,0.05,0.26,1.0,0.84,0.63,0.42,0.26,0.16,0.0,1.39,0.26,0.63,0.34,0.11,0.39,0.76,0.42,0.18,0.03,0.0,0.0,0.0,16.0,37.0,22.0,46.0,4.0,10.0,6.0,12.0,6.0,15.0,3.0,9.0,13.0,16.0,6.0,21.0
62,2,15,26,41,19,3,44,14,Manchester Utd,2015,8,22,-1,21,19,5,26,6,1.37,2.32,0.95,2.61,0.58,0.29,0.21,38,0.13,0.21,0.92,0.76,0.55,0.21,0.05,0.05,0.03,2.95,0.58,0.32,0.11,0.11,0.32,1.0,0.84,0.68,0.32,0.05,0.05,0.0,2.26,0.58,0.26,0.32,0.16,0.11,0.84,0.68,0.42,0.11,0.05,0.05,0.05,1.26,0.24,0.63,0.47,0.13,0.29,0.66,0.42,0.18,0.0,0.0,0.0,0.0,15.0,33.0,22.0,29.0,5.0,8.0,5.0,15.0,5.0,10.0,4.0,10.0,10.0,8.0,8.0,11.0
63,5,14,27,41,19,2,41,12,Arsenal,2015,4,22,8,30,19,5,34,10,1.79,2.16,0.37,2.82,0.58,0.34,0.13,38,0.08,0.29,0.95,0.84,0.63,0.26,0.13,0.0,0.0,2.89,0.53,0.42,0.16,0.05,0.32,0.89,0.79,0.68,0.32,0.21,0.0,0.0,2.74,0.63,0.26,0.11,0.11,0.26,1.0,0.89,0.58,0.21,0.05,0.0,0.0,1.29,0.11,0.74,0.42,0.16,0.47,0.74,0.39,0.13,0.03,0.0,0.0,0.0,13.0,36.0,23.0,35.0,1.0,9.0,6.0,8.0,6.0,19.0,9.0,5.0,3.0,15.0,11.0,15.0
64,4,13,24,37,19,4,37,11,Southampton,2015,2,20,-3,17,19,10,23,7,1.21,1.95,0.74,2.29,0.34,0.39,0.32,38,0.26,0.34,0.95,0.63,0.37,0.16,0.05,0.05,0.05,2.63,0.26,0.58,0.26,0.16,0.47,0.89,0.74,0.42,0.21,0.11,0.11,0.11,1.95,0.42,0.21,0.37,0.37,0.21,1.0,0.53,0.32,0.11,0.0,0.0,0.0,1.08,0.21,0.58,0.55,0.21,0.24,0.66,0.29,0.05,0.03,0.03,0.03,0.0,17.0,24.0,16.0,30.0,5.0,6.0,7.0,10.0,5.0,8.0,3.0,8.0,5.0,9.0,8.0,13.0
65,5,20,10,30,19,4,35,10,Liverpool,2015,3,28,-6,22,19,8,27,8,1.42,1.84,0.42,2.63,0.53,0.37,0.21,38,0.11,0.26,0.89,0.71,0.53,0.32,0.13,0.03,0.03,2.63,0.63,0.32,0.16,0.05,0.21,0.89,0.79,0.58,0.26,0.11,0.0,0.0,2.63,0.42,0.42,0.26,0.16,0.32,0.89,0.63,0.47,0.37,0.16,0.05,0.05,1.18,0.24,0.58,0.47,0.18,0.29,0.71,0.34,0.08,0.03,0.03,0.0,0.0,24.0,21.0,24.0,31.0,7.0,8.0,7.0,8.0,10.0,5.0,8.0,7.0,7.0,12.0,9.0,12.0
66,3,22,10,32,19,6,33,10,Stoke City,2015,6,23,-7,16,19,8,21,5,1.11,1.74,0.63,2.45,0.55,0.24,0.24,38,0.21,0.21,0.97,0.71,0.45,0.18,0.08,0.03,0.03,2.84,0.58,0.26,0.16,0.16,0.26,1.0,0.79,0.53,0.26,0.16,0.05,0.05,2.05,0.53,0.21,0.32,0.26,0.16,0.95,0.63,0.37,0.11,0.0,0.0,0.0,1.42,0.34,0.47,0.45,0.18,0.21,0.74,0.47,0.16,0.03,0.03,0.0,0.0,24.0,30.0,21.0,18.0,8.0,8.0,6.0,6.0,10.0,16.0,5.0,5.0,8.0,3.0,8.0,10.0
67,3,24,7,31,19,6,33,10,Tottenham,2015,4,29,-2,27,19,6,31,9,1.63,1.74,0.11,2.92,0.58,0.24,0.26,38,0.18,0.16,0.92,0.76,0.71,0.26,0.13,0.05,0.05,2.89,0.53,0.26,0.32,0.21,0.16,0.89,0.68,0.63,0.26,0.16,0.11,0.11,2.95,0.63,0.21,0.21,0.16,0.16,0.95,0.84,0.79,0.26,0.11,0.0,0.0,1.42,0.26,0.45,0.5,0.29,0.24,0.79,0.42,0.18,0.03,0.0,0.0,0.0,27.0,27.0,26.0,31.0,9.0,11.0,12.0,8.0,6.0,8.0,9.0,9.0,10.0,9.0,7.0,13.0
68,5,22,5,27,19,5,32,9,Swansea City,2015,3,27,-8,19,19,9,24,7,1.26,1.68,0.42,2.5,0.5,0.34,0.21,38,0.16,0.29,0.95,0.68,0.42,0.24,0.16,0.05,0.0,2.58,0.53,0.32,0.16,0.16,0.32,1.0,0.79,0.42,0.21,0.11,0.05,0.0,2.42,0.47,0.37,0.26,0.16,0.26,0.89,0.58,0.42,0.26,0.21,0.05,0.0,1.08,0.26,0.53,0.55,0.21,0.18,0.66,0.34,0.05,0.03,0.0,0.0,0.0,22.0,19.0,27.0,27.0,4.0,6.0,7.0,8.0,11.0,5.0,8.0,5.0,10.0,10.0,9.0,12.0
69,4,18,7,25,19,6,31,9,West Ham Utd,2015,7,29,-10,19,19,9,16,3,0.84,1.63,0.79,2.39,0.55,0.24,0.29,38,0.21,0.16,0.92,0.76,0.47,0.24,0.0,0.0,0.0,2.26,0.53,0.37,0.16,0.11,0.32,0.95,0.68,0.42,0.21,0.0,0.0,0.0,2.53,0.58,0.11,0.42,0.32,0.0,0.89,0.84,0.53,0.26,0.0,0.0,0.0,1.05,0.21,0.53,0.58,0.26,0.21,0.68,0.29,0.08,0.0,0.0,0.0,0.0,21.0,19.0,26.0,25.0,3.0,5.0,7.0,6.0,11.0,8.0,6.0,11.0,7.0,10.0,13.0,4.0
70,7,21,6,27,19,5,28,7,Everton,2015,4,29,-8,21,19,10,19,5,1.0,1.47,0.47,2.58,0.5,0.26,0.32,38,0.24,0.18,0.92,0.74,0.47,0.24,0.11,0.03,0.03,2.53,0.42,0.42,0.32,0.16,0.26,0.84,0.63,0.47,0.26,0.11,0.05,0.05,2.63,0.58,0.11,0.32,0.32,0.11,1.0,0.84,0.47,0.21,0.11,0.0,0.0,1.13,0.16,0.61,0.5,0.24,0.34,0.74,0.29,0.11,0.0,0.0,0.0,0.0,19.0,24.0,31.0,24.0,3.0,7.0,7.0,9.0,9.0,8.0,5.0,6.0,15.0,5.0,11.0,13.0
71,5,22,6,28,19,7,26,7,Leicester City,2015,3,33,-15,18,19,12,15,4,0.79,1.37,0.58,2.66,0.45,0.26,0.37,38,0.29,0.18,0.92,0.68,0.45,0.32,0.13,0.08,0.05,2.63,0.47,0.32,0.32,0.21,0.21,0.89,0.63,0.47,0.32,0.11,0.11,0.05,2.68,0.42,0.21,0.42,0.37,0.16,0.95,0.74,0.42,0.32,0.16,0.05,0.05,1.26,0.26,0.53,0.55,0.21,0.18,0.66,0.42,0.18,0.0,0.0,0.0,0.0,27.0,21.0,28.0,25.0,5.0,6.0,10.0,8.0,12.0,7.0,11.0,8.0,8.0,7.0,9.0,10.0
72,5,27,-1,26,19,7,26,7,Newcastle Utd,2015,4,36,-22,14,19,12,13,3,0.68,1.37,0.69,2.71,0.47,0.21,0.34,38,0.32,0.18,0.97,0.74,0.5,0.29,0.16,0.05,0.0,2.79,0.58,0.26,0.16,0.16,0.26,1.0,0.68,0.47,0.32,0.21,0.11,0.0,2.63,0.37,0.16,0.53,0.47,0.11,0.95,0.79,0.53,0.26,0.11,0.0,0.0,1.08,0.18,0.42,0.68,0.39,0.13,0.71,0.32,0.05,0.0,0.0,0.0,0.0,28.0,13.0,35.0,27.0,10.0,1.0,11.0,4.0,7.0,8.0,16.0,9.0,7.0,9.0,12.0,9.0
73,4,26,-2,24,19,8,25,7,West Brom,2015,7,25,-11,14,19,8,19,4,1.0,1.32,0.32,2.34,0.37,0.42,0.34,38,0.21,0.29,0.87,0.66,0.45,0.26,0.11,0.0,0.0,2.63,0.37,0.42,0.26,0.21,0.37,0.95,0.68,0.53,0.37,0.11,0.0,0.0,2.05,0.37,0.42,0.42,0.21,0.21,0.79,0.63,0.37,0.16,0.11,0.0,0.0,1.29,0.18,0.5,0.66,0.32,0.16,0.66,0.42,0.18,0.03,0.0,0.0,0.0,33.0,16.0,18.0,22.0,13.0,7.0,8.0,4.0,12.0,5.0,4.0,10.0,6.0,8.0,8.0,4.0
74,5,24,-1,23,19,8,23,6,QP Rangers,2015,1,49,-30,19,19,16,7,2,0.37,1.21,0.84,3.03,0.58,0.16,0.32,38,0.26,0.11,0.95,0.82,0.63,0.37,0.18,0.08,0.0,2.47,0.53,0.26,0.32,0.21,0.16,0.89,0.68,0.47,0.26,0.16,0.0,0.0,3.58,0.63,0.05,0.32,0.32,0.05,1.0,0.95,0.79,0.47,0.21,0.16,0.0,1.34,0.21,0.45,0.66,0.34,0.13,0.68,0.42,0.24,0.0,0.0,0.0,0.0,34.0,17.0,39.0,25.0,8.0,2.0,10.0,5.0,16.0,10.0,11.0,5.0,11.0,9.0,17.0,11.0
75,3,27,-6,21,19,10,21,6,Crystal Palace,2015,6,24,2,26,19,6,27,7,1.42,1.11,-0.31,2.58,0.58,0.18,0.34,38,0.24,0.08,0.89,0.71,0.53,0.32,0.11,0.03,0.0,2.53,0.63,0.16,0.26,0.21,0.11,0.95,0.79,0.53,0.26,0.0,0.0,0.0,2.63,0.53,0.21,0.42,0.26,0.05,0.84,0.63,0.53,0.37,0.21,0.05,0.0,1.05,0.24,0.47,0.66,0.29,0.11,0.63,0.34,0.08,0.0,0.0,0.0,0.0,23.0,17.0,28.0,30.0,10.0,2.0,4.0,6.0,9.0,9.0,9.0,16.0,4.0,5.0,15.0,9.0
