,D_home,GA_home,GD_home,GF_home,GP_home,L_home,Pts_home,W_home,team,year,D_away,GA_away,GD_away,GF_away,GP_away,L_away,Pts_away,W_away,ppg_away,ppg_home,ppg_home_away_diff,Avg_all,BTS_all,CS_all,FTS_all,GP_all,LTN_all,WTN_all,g_0.5+_all,g_1.5+_all,g_2.5+_all,g_3.5+_all,g_4.5+_all,g_5.5+_all,g_6.5+_all,Avg_home,BTS_home,CS_home,FTS_home,LTN_home,WTN_home,g_0.5+_home,g_1.5+_home,g_2.5+_home,g_3.5+_home,g_4.5+_home,g_5.5+_home,g_6.5+_home,Avg_away,BTS_away,CS_away,FTS_away,LTN_away,WTN_away,g_0.5+_away,g_1.5+_away,g_2.5+_away,g_3.5+_away,g_4.5+_away,g_5.5+_away,g_6.5+_away,Avg_htime,BTS_htime,CS_htime,FTS_htime,LTN_htime,WTN_htime,g_0.5+_htime,g_1.5+_htime,g_2.5+_htime,g_3.5+_htime,g_4.5+_htime,g_5.5+_htime,g_6.5+_htime,half_1_con,half_1_goal,half_2_con,half_2_goal,min_0-15_con,min_0-15_goal,min_16-30_con,min_16-30_goal,min_31-45_con,min_31-45_goal,min_46-60_con,min_46-60_goal,min_61-75_con,min_61-75_goal,min_76-90_con,min_76-90_goal
10,7,17,9,26,19,5,28,7,Sunderland,2012,5,29,-10,19,19,10,17,4,0.89,1.47,0.58,2.39,0.47,0.32,0.34,38,0.21,0.18,0.87,0.66,0.5,0.26,0.08,0.03,0.0,2.26,0.47,0.42,0.26,0.11,0.26,0.84,0.63,0.53,0.26,0.0,0.0,0.0,2.53,0.47,0.21,0.42,0.32,0.11,0.89,0.68,0.47,0.26,0.16,0.05,0.0,1.0,0.18,0.61,0.61,0.21,0.21,0.61,0.26,0.11,0.03,0.0,0.0,0.0,18.0,20.0,28.0,25.0,7.0,4.0,5.0,8.0,6.0,8.0,6.0,10.0,9.0,3.0,13.0,12.0
11,9,16,8,24,19,4,27,6,Liverpool,2012,1,24,-1,23,19,10,25,8,1.32,1.42,0.1,2.29,0.45,0.32,0.34,38,0.24,0.21,0.89,0.71,0.42,0.18,0.08,0.0,0.0,2.11,0.63,0.26,0.26,0.11,0.11,0.84,0.68,0.37,0.16,0.05,0.0,0.0,2.47,0.26,0.37,0.42,0.37,0.32,0.95,0.74,0.47,0.21,0.11,0.0,0.0,0.97,0.13,0.66,0.61,0.21,0.26,0.61,0.29,0.08,0.0,0.0,0.0,0.0,15.0,22.0,25.0,25.0,5.0,7.0,5.0,8.0,5.0,7.0,10.0,8.0,6.0,6.0,9.0,11.0
12,6,30,-2,28,19,6,27,7,Norwich City,2012,5,36,-12,24,19,9,20,5,1.05,1.42,0.37,3.11,0.71,0.08,0.24,38,0.21,0.05,0.97,0.89,0.61,0.29,0.18,0.13,0.03,3.05,0.68,0.16,0.21,0.16,0.11,0.95,0.89,0.58,0.26,0.16,0.16,0.05,3.16,0.74,0.0,0.26,0.26,0.0,1.0,0.89,0.63,0.32,0.21,0.11,0.0,1.39,0.29,0.34,0.5,0.37,0.21,0.87,0.45,0.08,0.0,0.0,0.0,0.0,29.0,24.0,37.0,28.0,10.0,8.0,12.0,6.0,7.0,10.0,7.0,7.0,15.0,7.0,15.0,14.0
13,5,25,-1,24,19,7,26,7,QP Rangers,2012,2,41,-22,19,19,14,11,3,0.58,1.37,0.79,2.87,0.55,0.18,0.29,38,0.26,0.16,0.97,0.74,0.53,0.34,0.21,0.05,0.03,2.58,0.58,0.26,0.21,0.16,0.21,0.95,0.74,0.47,0.26,0.16,0.0,0.0,3.16,0.53,0.11,0.37,0.37,0.11,1.0,0.74,0.58,0.42,0.26,0.11,0.05,1.34,0.18,0.37,0.61,0.45,0.21,0.84,0.34,0.13,0.03,0.0,0.0,0.0,32.0,19.0,34.0,24.0,10.0,5.0,8.0,8.0,14.0,6.0,9.0,6.0,15.0,8.0,10.0,10.0
14,7,27,-5,22,19,7,22,5,Wigan Athletic,2012,3,35,-15,20,19,10,21,6,1.11,1.16,0.05,2.74,0.58,0.21,0.29,38,0.21,0.13,0.92,0.82,0.55,0.32,0.11,0.03,0.0,2.58,0.47,0.32,0.32,0.21,0.21,0.89,0.79,0.37,0.32,0.16,0.05,0.0,2.89,0.68,0.11,0.26,0.21,0.05,0.95,0.84,0.74,0.32,0.05,0.0,0.0,1.24,0.24,0.45,0.63,0.32,0.13,0.68,0.39,0.13,0.03,0.0,0.0,0.0,27.0,20.0,35.0,22.0,8.0,7.0,6.0,2.0,13.0,11.0,8.0,6.0,11.0,5.0,16.0,11.0
15,3,22,-1,21,19,10,21,6,West Brom,2012,5,30,-6,24,19,7,26,7,1.37,1.11,-0.26,2.55,0.5,0.26,0.32,38,0.24,0.18,0.92,0.74,0.55,0.24,0.08,0.03,0.0,2.26,0.42,0.42,0.32,0.16,0.26,0.84,0.63,0.53,0.21,0.05,0.0,0.0,2.84,0.58,0.11,0.32,0.32,0.11,1.0,0.84,0.58,0.26,0.11,0.05,0.0,1.21,0.24,0.5,0.58,0.26,0.18,0.68,0.37,0.11,0.05,0.0,0.0,0.0,26.0,20.0,26.0,25.0,7.0,10.0,11.0,3.0,8.0,7.0,8.0,6.0,9.0,6.0,9.0,13.0
16,7,25,-5,20,19,8,19,4,Aston Villa,2012,10,28,-11,17,19,6,19,3,1.0,1.0,0.0,2.37,0.55,0.24,0.39,38,0.21,0.05,0.82,0.74,0.42,0.26,0.11,0.03,0.0,2.37,0.58,0.21,0.32,0.21,0.11,0.89,0.74,0.37,0.21,0.11,0.05,0.0,2.37,0.53,0.26,0.47,0.21,0.0,0.74,0.74,0.47,0.32,0.11,0.0,0.0,1.11,0.18,0.53,0.61,0.29,0.21,0.68,0.37,0.05,0.0,0.0,0.0,0.0,25.0,17.0,28.0,20.0,8.0,4.0,12.0,6.0,5.0,7.0,8.0,5.0,10.0,6.0,10.0,9.0
17,1,33,-7,26,19,12,19,6,Blackburn,2012,6,45,-23,22,19,11,12,2,0.63,1.0,0.37,3.32,0.66,0.08,0.26,38,0.26,0.08,1.0,0.92,0.63,0.34,0.21,0.13,0.05,3.11,0.58,0.11,0.32,0.32,0.11,1.0,0.84,0.58,0.32,0.21,0.11,0.05,3.53,0.74,0.05,0.21,0.21,0.05,1.0,1.0,0.68,0.37,0.21,0.16,0.05,1.47,0.26,0.39,0.53,0.34,0.21,0.82,0.45,0.18,0.03,0.0,0.0,0.0,35.0,21.0,43.0,27.0,9.0,2.0,14.0,8.0,12.0,11.0,15.0,11.0,10.0,9.0,18.0,7.0
18,4,39,-16,23,19,11,16,4,Bolton,2012,2,38,-15,23,19,11,20,6,1.05,0.84,-0.21,3.24,0.58,0.08,0.37,38,0.34,0.05,0.97,0.97,0.74,0.37,0.16,0.03,0.0,3.26,0.63,0.11,0.32,0.26,0.05,0.95,0.95,0.68,0.37,0.26,0.05,0.0,3.21,0.53,0.05,0.42,0.42,0.05,1.0,1.0,0.79,0.37,0.05,0.0,0.0,1.29,0.18,0.5,0.63,0.32,0.18,0.68,0.42,0.16,0.03,0.0,0.0,0.0,29.0,20.0,48.0,26.0,7.0,5.0,8.0,8.0,14.0,7.0,18.0,4.0,16.0,14.0,14.0,8.0
19,3,43,-24,19,19,13,12,3,Wolverhampton,2012,7,39,-18,21,19,10,13,2,0.68,0.63,-0.05,3.21,0.63,0.11,0.34,38,0.26,0.03,0.92,0.92,0.71,0.34,0.21,0.05,0.03,3.26,0.53,0.11,0.42,0.37,0.05,0.95,0.95,0.74,0.37,0.21,0.05,0.0,3.16,0.74,0.11,0.26,0.16,0.0,0.89,0.89,0.68,0.32,0.21,0.05,0.05,1.58,0.29,0.32,0.63,0.39,0.08,0.76,0.58,0.16,0.03,0.03,0.03,0.0,43.0,17.0,39.0,23.0,16.0,1.0,12.0,7.0,15.0,9.0,10.0,9.0,13.0,6.0,16.0,8.0
